seed,n_shot,train_acc,test_acc
1,1,[0.8180000185966492],[0.8399999737739563]
1,5,[0.9530000686645508],[0.9899999499320984]
1,20,[0.9330000281333923],[0.9699999690055847]
1,10,[0.9820000529289246],[0.9799999594688416]
1,50,[0.9260000586509705],[0.9599999785423279]
1,100,[0.8340000510215759],[0.9699999690055847]
2,5,[0.862000048160553],[0.9300000071525574]
2,1,[0.8410000205039978],[0.8999999761581421]
1,200,[0.8990000486373901],[0.9799999594688416]
1,500,[0.956000030040741],[0.9899999499320984]
2,10,[0.8880000710487366],[0.9199999570846558]
2,100,[0.984000027179718],[1.0]
2,20,[0.9080000519752502],[0.9300000071525574]
2,50,[0.9920000433921814],[0.9799999594688416]
2,200,[0.9000000357627869],[0.9300000071525574]
2,500,[0.9810000658035278],[0.9799999594688416]
3,10,[0.9280000329017639],[0.9699999690055847]
3,5,[0.8480000495910645],[0.8899999856948853]
3,1,[0.5770000219345093],[0.5699999928474426]
3,50,[0.9760000705718994],[0.9699999690055847]
3,20,[0.9450000524520874],[0.9799999594688416]
3,200,[0.9830000400543213],[0.9799999594688416]
3,500,[0.9600000381469727],[0.9799999594688416]
3,100,[0.940000057220459],[0.9399999976158142]
4,1,[0.6390000581741333],[0.6499999761581421]
4,5,[0.7350000143051147],[0.7699999809265137]
4,10,[0.9200000166893005],[0.9699999690055847]
4,20,[0.9420000314712524],[0.9699999690055847]
4,50,[0.9410000443458557],[0.9300000071525574]
4,100,[0.9910000562667847],[0.9899999499320984]
4,200,[0.9580000638961792],[0.9899999499320984]
4,500,[0.8530000448226929],[0.9099999666213989]
5,1,[0.7930000424385071],[0.6899999976158142]
5,5,[0.8180000185966492],[0.8799999952316284]
5,20,[0.9550000429153442],[0.9599999785423279]
5,10,[0.9230000376701355],[0.9399999976158142]
5,50,[0.9620000720024109],[0.9899999499320984]
5,100,[0.9780000448226929],[0.9799999594688416]
5,200,[0.9620000720024109],[0.9899999499320984]
5,500,[0.9610000252723694],[0.9799999594688416]
