seed,n_shot,train_acc,test_acc
1,20,[0.8220000267028809],[0.9199999570846558]
1,5,[0.9860000610351562],[1.0]
1,50,[0.9890000224113464],[1.0]
1,10,[0.9820000529289246],[0.9899999499320984]
1,1,[0.9920000433921814],[1.0]
1,100,[0.9970000386238098],[1.0]
1,200,[0.9530000686645508],[0.949999988079071]
2,5,[0.9570000171661377],[0.9899999499320984]
2,1,[0.9720000624656677],[0.9899999499320984]
1,500,[0.9660000205039978],[0.9899999499320984]
2,10,[0.971000075340271],[1.0]
2,20,[0.9670000672340393],[0.9799999594688416]
2,100,[0.984000027179718],[1.0]
2,50,[0.9850000739097595],[0.9799999594688416]
2,200,[0.9800000190734863],[0.9899999499320984]
2,500,[0.9180000424385071],[0.9199999570846558]
3,1,[0.9530000686645508],[0.949999988079071]
3,5,[0.9820000529289246],[0.9899999499320984]
3,20,[0.9020000696182251],[0.9799999594688416]
3,10,[0.9910000562667847],[0.9899999499320984]
3,50,[0.9550000429153442],[0.9899999499320984]
3,100,[0.9730000495910645],[1.0]
4,1,[0.8360000252723694],[0.9199999570846558]
3,500,[0.9730000495910645],[0.9899999499320984]
3,200,[0.9440000653266907],[0.9899999499320984]
4,10,[0.9630000591278076],[0.9300000071525574]
4,5,[0.9740000367164612],[0.9699999690055847]
4,20,[0.9880000352859497],[1.0]
4,50,[0.9150000214576721],[0.9099999666213989]
4,100,[0.921000063419342],[0.9099999666213989]
4,500,[0.984000027179718],[0.9899999499320984]
4,200,[0.9590000510215759],[0.9699999690055847]
5,1,[0.8980000615119934],[0.9199999570846558]
5,5,[0.9800000190734863],[0.9899999499320984]
5,10,[0.9780000448226929],[0.9699999690055847]
5,20,[0.89000004529953],[0.949999988079071]
5,50,[0.9720000624656677],[0.9699999690055847]
5,500,[0.8750000596046448],[0.9300000071525574]
5,100,[0.9880000352859497],[1.0]
5,200,[0.9540000557899475],[0.9799999594688416]
